"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-11-02","2019","11","02","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-11-03","2019","11","03","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-11-04","2019","11","04","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-11-05","2019","11","05","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-11-06","2019","11","06","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-11-07","2019","11","07","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-11-08","2019","11","08","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-11-09","2019","11","09","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-11-10","2019","11","10","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-11-11","2019","11","11","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-11-12","2019","11","12","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-11-13","2019","11","13","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-11-14","2019","11","14","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-11-15","2019","11","15","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-11-16","2019","11","16","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-11-17","2019","11","17","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-11-18","2019","11","18","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-11-19","2019","11","19","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-11-20","2019","11","20","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-11-21","2019","11","21","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-11-22","2019","11","22","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-11-23","2019","11","23","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-11-24","2019","11","24","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-11-25","2019","11","25","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-11-26","2019","11","26","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-11-27","2019","11","27","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-11-28","2019","11","28","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-11-29","2019","11","29","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-11-30","2019","11","30","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-12-01","2019","12","01","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-12-02","2019","12","02","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-12-03","2019","12","03","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-12-04","2019","12","04","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-12-05","2019","12","05","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-12-06","2019","12","06","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-12-07","2019","12","07","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-12-08","2019","12","08","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-12-09","2019","12","09","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-12-10","2019","12","10","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-12-11","2019","12","11","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-12-12","2019","12","12","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-12-13","2019","12","13","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-12-14","2019","12","14","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-12-15","2019","12","15","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-12-16","2019","12","16","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-12-17","2019","12","17","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-12-18","2019","12","18","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-12-19","2019","12","19","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-12-20","2019","12","20","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-12-21","2019","12","21","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-12-22","2019","12","22","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-12-23","2019","12","23","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-12-24","2019","12","24","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-12-25","2019","12","25","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-12-26","2019","12","26","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-12-27","2019","12","27","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-12-28","2019","12","28","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-12-29","2019","12","29","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-12-30","2019","12","30","","","","","","","","","","","","","","","","","","","","","","",""
"-63.10","45.07","MIDDLE MUSQUODOBOIT","8203535","2019-12-31","2019","12","31","","","","","","","","","","","","","","","","","","","","","","",""
